"Name","Name Translation","Category","Genre (Google Play)","Handle","Downloads","Developer","Exodus Privacy Report URL","Google Play URL","VirusTotal Report URL","Version","Checksum","Developer Email","Developer Website","Developer Privacy Policy","Google Play Status","List of installed apps","Device logs","Location","Advertising ID","IP Address","MAC Address","IMEI and/or IMSI","SIM serial","Phone number","Carrier name","Read device logs","Create Bluetooth connections","Access coarse and fine location","Determine phone call info","Make phone calls","Read and/or write contacts","Read and/or write calendar","Record audio and/or video","Amplitude","AppsFlyer","Branch","Facebook Analytics","Google AdMob","Localytics","Mixpanel","OneSignal","Segment","Other SDKs listed by Exodus Privacy"
"Bicycle Health",,"Health & Fitness","Medical","com.bicyclehealth.patient.app",100,"Bicycle Health","https://reports.exodus-privacy.eu.org/en/reports/177844/","https://play.google.com/store/apps/details?id=com.bicyclehealth.patient.app","https://www.virustotal.com/gui/file/3d60bd77fab2a4def3bffd99407976b28537e5b4c089fb3f99d778bfa6fb4332/detection","1.0.5","3d60bd77fab2a4def3bffd99407976b28537e5b4c089fb3f99d778bfa6fb4332","info@bicyclehealth.com","https://www.bicyclehealth.com","https://www.bicyclehealth.com/legal/npp","Published","Zoom",,,"Google",,,,,"Learnium, Zoom","Branch, Learnium, Zoom",,"Yes",,"Yes","Yes",,,"Yes",,,"Yes",,,,,,,"Yes"
"Boulder Care",,"Health & Fitness","Health & Fitness","bouldercare.patient",1000,"Boulder Care","https://reports.exodus-privacy.eu.org/en/reports/180074/","https://play.google.com/store/apps/details?id=bouldercare.patient","https://www.virustotal.com/gui/file/9782b4c2ea1e1fc87c9939ebd40c9d70b6f7bc773a47d226fc16e71d41e83fde/detection","1.141.0","9782b4c2ea1e1fc87c9939ebd40c9d70b6f7bc773a47d226fc16e71d41e83fde","contact@boulder.care","https://boulder.care","https://boulder.care/privacy/","Published",,,"Amplitude","Google",,,,,,"Amplitude",,"Yes",,"Yes",,,,"Yes","Yes",,,,"Yes",,,,,"Yes"
"Confidant Health",,"Health & Fitness","Health & Fitness","live.safeopioidusecoalition.confidant",100,"Confidant Health","https://reports.exodus-privacy.eu.org/en/reports/166687/","https://play.google.com/store/apps/details?id=live.safeopioidusecoalition.confidant","https://www.virustotal.com/gui/file/07904935c1e592977e1dbd3b51be6adf833ac57e8afb71d1825fe5e86ed1eb41/detection","2.0.14","07904935c1e592977e1dbd3b51be6adf833ac57e8afb71d1825fe5e86ed1eb41","admin@confidanthealth.com","https://confidanthealth.com","https://confidanthealth.com/PrivacyPolicy","Published",,,"Facebook, OneSignal","OneSignal","Branch",,"Segment",,,"Branch, OneSignal, Segment",,"Yes",,"Yes",,,"Yes","Yes",,,"Yes","Yes",,,,"Yes","Yes","Yes"
"DynamiCare Health",,"Health & Fitness","Health & Fitness","com.dynamicarehealth.rewards",1000,"DynamiCare Health","https://reports.exodus-privacy.eu.org/en/reports/180076/","https://play.google.com/store/apps/details?id=com.dynamicarehealth.rewards","https://www.virustotal.com/gui/file/73f7446103d704b09bf015a263d759342ac4153862ca158360deacc425d84374/detection","1.0.186","73f7446103d704b09bf015a263d759342ac4153862ca158360deacc425d84374","info@dynamicarehealth.com","http://www.dynamicarehealth.com/","http://www.dynamicarehealth.com/privacy-policy","Published",,,"DynamiCare Health","Google",,,,,,,,"Yes","Yes",,,,,"Yes",,,,,,,,,,"Yes"
"Kaden Health",,"Health & Fitness","Medical","com.thrivee",100,"Thrivee, Inc.","https://reports.exodus-privacy.eu.org/en/reports/177159/","https://play.google.com/store/apps/details?id=com.thrivee","https://www.virustotal.com/gui/file/1ac4daec9cfdbf7479730fb9ffa5fcecbe2ada290558c2dad3c3a6ed1a7f9f39/detection","21.3.30","1ac4daec9cfdbf7479730fb9ffa5fcecbe2ada290558c2dad3c3a6ed1a7f9f39","jim@thrivee.com","https://thrivee.com","https://www.thrivee.com/privacy-policy","Published","Stripe","Stripe","Facebook, Stripe","Google","Stripe",,"Stripe","Stripe","Learnium, Stripe","Learnium, Stripe",,"Yes",,,,,"Yes","Yes",,,,"Yes","Yes",,,,,"Yes"
"LOOSID: Sober Social Network & Recovery App",,"Health & Fitness","Social","com.loosidapp",50000,"Loosid App LLC","https://reports.exodus-privacy.eu.org/en/reports/180073/","https://play.google.com/store/apps/details?id=com.loosidapp","https://www.virustotal.com/gui/file/13aaec3f8c7c32c461041a20798726df06103b1993141ff1584a5081c2adc026/detection","3.8.20","13aaec3f8c7c32c461041a20798726df06103b1993141ff1584a5081c2adc026","support@loosidapp.com","http://loosidapp.com","http://loosidapp.com/privacypolicy/","Published",,,"AppsFlyer, OneSignal",,"AppsFlyer, Mixpanel",,,,"Learnium","AppsFlyer, Facebook, Learnium, Microsoft, Mixpanel ",,"Yes","Yes","Yes",,"Yes","Yes","Yes",,"Yes",,,,,"Yes","Yes",,"Yes"
"Pear reSET-O®",,"Health & Fitness","Medical","md.reset.reSETO",5000,"Pear Therapeutics, Inc.","https://reports.exodus-privacy.eu.org/en/reports/180075/","https://play.google.com/store/apps/details?id=md.reset.reSETO","https://www.virustotal.com/gui/file/11590dac36456fa63a67091d2b15e86e1a7637dfb17715a7749127cec1945995/detection","1.6.1","11590dac36456fa63a67091d2b15e86e1a7637dfb17715a7749127cec1945995","pearconnect@peartherapeutics.com","https://www.resetforrecovery.com/","https://www.pear.md/legal/privacy","Published",,,,,,,,,"Learnium","Learnium, Microsoft",,,,,,,,,,,,,,,,,,"Yes"
"PursueCare: Addiction Recovery",,"Health & Fitness","Health & Fitness","com.mobileapp.production",10000,"PursueCare","https://reports.exodus-privacy.eu.org/en/reports/180071/","https://play.google.com/store/apps/details?id=com.mobileapp.production","https://www.virustotal.com/gui/file/3eb3456ecff683a23cea00fc047fc752c3ac67ee65949bfc6c19d81fa3b5e31f/detection","1.0.0","3eb3456ecff683a23cea00fc047fc752c3ac67ee65949bfc6c19d81fa3b5e31f","care@pursuecare.com","https://www.pursuecare.com","https://www.pursuecare.com/nopp","Published",,,,,,,,,,,,"Yes","Yes","Yes",,,,"Yes",,,,,,,,,,
"Sober Grid - Social Network",,"Health & Fitness","Lifestyle","com.sobergrid",100000,"Sober Grid","https://reports.exodus-privacy.eu.org/en/reports/148753/","https://play.google.com/store/apps/details?id=com.sobergrid","https://www.virustotal.com/gui/file/12bf3f85419e9746b6e893b73148276f8ab61bab7814c65ec548f0fc4e114125/detection","3.3.82","12bf3f85419e9746b6e893b73148276f8ab61bab7814c65ec548f0fc4e114125","contact@sobergrid.com","http://www.sobergrid.com","https://www.sobergrid.com/privacy","Published",,"Localytics","Facebook, Google, Localytics, OneSignal, Sober Grid","Google, Localytics, OneSignal",,"Sober Grid","Localytics, Sober Grid",,,"Google, Localytics, OneSignal","Yes",,,"Yes","Yes","Yes",,"Yes",,,,"Yes","Yes","Yes",,"Yes",,"Yes"
"Workit Health: Addiction Recovery by Experts",,"Health & Fitness","Medical","com.workithealth.workitapp",10000,"Workit Health","https://reports.exodus-privacy.eu.org/en/reports/177843/","https://play.google.com/store/apps/details?id=com.workithealth.workitapp","https://www.virustotal.com/gui/file/65b2be1f591d372987f5bd88a51dddf629ceef9f9ac9c3ee92ee99d7d4e16961/detection","1.8.0","65b2be1f591d372987f5bd88a51dddf629ceef9f9ac9c3ee92ee99d7d4e16961","hello@workithealth.com","https://www.workithealth.com/","https://www.workithealth.com/privacy-policy","Published",,,"AppsFlyer, Facebook","AppsFlyer, Google",,,,,"Learnium","AppsFlyer, Facebook, Learnium",,,,,,,,"Yes",,"Yes",,,,,,,,"Yes"
